;;;;;;
ALA;Almaty;Kazakhstan;Asia;Air Astana;Almaty (ALA);
ALC;Alicante;Spain;Europe;Vueling;Alicante (ALC);
AMS;Amsterdam;Netherlands;Europe;KLM;Amsterdam (AMS);
ARN;Stockholm;Sweden;Europe;SAS;Stockholm (ARN);
ATL;Atlanta;United States;North America;American Airlines;Atlanta (ATL);
BCN;Barcelona;Spain;Europe;Volotea;Barcelona (BCN);
BEG;Belgrade;Serbia;Europe;Air Serbia;Belgrade (BEG);
BIO;Bilbao;Spain;Europe;Ryan Air;Bilbao (BIO);
MIL;Milano;Italy;Europe;Ryan Air;Milano (MIL);
BKK;Bangkok;Thailand;Asia;Thai Airways;Bangkok (BKK);
BNE;Brisbane;Australia;Oceania;Qantas;Brisbane (BNE);
BOM;Mumbai;India;Asia;Air India;Mumbai (BOM);
BOS;Boston;United States;North America;American Airlines;Boston (BOS);
BRU;Brussels;Belgium;Europe;Air Belgium;Brussels (BRU);
BWI;Baltimore;United States;North America;JetBlue;Baltimore (BWI);
CAN;Guangzhou;China;Asia;China Airlines;Guangzhou (CAN);
NCE;Nice;France;Europe;Norwegian;Nice (NCE);
CDG;Paris;France;Europe;Air France;Paris (CDG);
CGK;Jakarta;Indonesia;Asia;Garuda Indonesia;Jakarta (CGK);
CPH;Copenhagen;Denmark;Europe;SAS;Copenhagen (CPH);
CTU;Chengdu;China;Asia;China Airlines;Chengdu (CTU);
OSL;Oslo;Norway;Europe;Norwegian;Oslo (OSL);
DCA;Washington;D.C.;North America;Delta;Washington (DCA);
DEL;Delhi;India;Asia;Air India;Delhi (DEL);
DEN;Denver;United States;North America;Delta;Denver (DEN);
DFW;Dallas;United States;North America;American Airlines;Dallas (DFW);
DUB;Dublin;Ireland;Europe;Ryan Air;Dublin (DUB);
DUS;Düsseldorf;Germany;Europe;Lufthansa;Düsseldorf (DUS);
DWC;Dubai;United Arab Emirates;Asia;Emirates;Dubai (DWC);
DXB;Dubai;United Arab Emirates;Asia;Emirates;Dubai (DXB);
FCO;Rome;Italy;Europe;Ryan Air;Rome (FCO);
FRA;Frankfurt;Germany;Europe;Lufthansa;Frankfurt (FRA);
GDN;Gdansk;Poland;Europe;Ryan Air;Gdansk (GDN);
GIG;Rio de Janeiro;Brazil;South America;LATAM;Rio de Janeiro (GIG);
GMP;Seoul;South Korea;Asia;Korean Air;Seoul (GMP);
HEL;Helsinki;Finland;Europe;Finnair;Helsinki (HEL);
HKG;Hong Kong;Hong Kong;Asia;China Airlines;Hong Kong (HKG);
HKT;Phuket;Thailand;Asia;Thai Airways;Phuket (HKT);
HND;Tokyo;Japan;Asia;Japan Airlines;Tokyo (HND);
IAH;Houston;United States;North America;American Airlines;Houston (IAH);
ICN;Seoul;South Korea;Asia;Korean Air;Seoul (ICN);
ISL;Istanbul;Turkey;Eurasia;Turkish Airlines;Istanbul (ISL);
SPU;Split;Croatia;Europe;Croatia Airlines;Split (SPU);
JFK;New York City;United States;North America;JetBlue;New York City (JFK);
JNB;Johannesburg;South Africa;Africa;South African Airways;Johannesburg (JNB);
KIX;Osaka;Japan;Asia;Japan Airlines;Osaka (KIX);
KMG;Kunming;China;Asia;China Airlines;Kunming (KMG);
KUL;Kuala Lumpur;Malaysia;Asia;Malaysia Airlines;Kuala Lumpur (KUL);
LAS;Las Vegas;United States;North America;Delta;Las Vegas (LAS);
LAX;Los Angeles;United States;North America;Delta;Los Angeles (LAX);
LGA;New York City;United States;North America;JetBlue;New York City (LGA);
LGW;London;United Kingdom;Europe;British Airways;London (LGW);
LHR;London;United Kingdom;Europe;British Airways;London (LHR);
LIS;Lisbon;Portugal;Europe;Ryan Air;Lisbon (LIS);
MAD;Madrid;Spain;Europe;Vueling;Madrid (MAD);
MAN;Manchester;United Kingdom;Europe;British Airways;Manchester (MAN);
MCO;Orlando;United States;North America;Delta;Orlando (MCO);
MDW;Chicago;United States;North America;Delta;Chicago (MDW);
MEX;Mexico City;Mexico;North America;Aeromexico;Mexico City (MEX);
MIA;Miami;United States;North America;JetBlue;Miami (MIA);
MLA;Malta International Airport;Malta;Europe;Ryan Air;Malta International Airport (MLA);
MNL;Manila;Philippines;Asia;Philippine Airlines;Manila (MNL);
MSP;Minneapolis;United States;North America;Delta;Minneapolis (MSP);
MUC;Munich;Germany;Europe;Lufthansa;Munich (MUC);
MXP;Milan;Italy;Europe;Ryan Air;Milan (MXP);
NCE;Nice;France;Europe;Altea;Nice (NCE);
NRT;Tokyo;Japan;Asia;Japan Airlines;Tokyo (NRT);
BOG;Bogotá;Columbia;South America;Lufthansa;Bogotá (BOG);
ORD;Chicago;United States;North America;JetBlue;Chicago (ORD);
ORY;Paris;France;Europe;Air France;Paris (ORY);
OTP;Bucharest;Romania;Europe;Ryan Air;Bucharest (OTP);
PEK;Beijing;China;Asia;China Airlines;Beijing (PEK);
PHL;Philadelphia;United States;North America;JetBlue;Philadelphia (PHL);
PHX;Phoenix;United States;North America;JetBlue;Phoenix (PHX);
PMI;Palma de Mallorca;Spain;Europe;Vueling;Palma de Mallorca (PMI);
PRG;Prague;Czech Republic;Europe;Ryan Air;Prague (PRG);
PTY;Panama City;Panama;Central America;Copa Airlines;Panama City (PTY);
PVG;Shanghai;China;Asia;China Airlines;Shanghai (PVG);
TLL;Tallin;Estonia;Europe;Ryan Air;Tallin (TLL);
SAN;San Diego;United States;North America;Delta;San Diego (SAN);
SAW;Istanbul;Turkey;Eurasia;Pegasus;Istanbul (SAW);
SEA;Seattle;United States;North America;Delta;Seattle (SEA);
SFO;San Francisco;United States;North America;American Airlines;San Francisco (SFO);
SHA;Shanghai;China;Asia;China Airlines;Shanghai (SHA);
SIN;Singapore;Singapore;Asia;Singapore Airlines;Singapore (SIN);
STL;St. Louis;United States;North America;American Airlines;St. Louis (STL);
STN;London;United Kingdom;Europe;British Airways;London (STN);
SZX;Shenzhen;China;Asia;China Airlines;Shenzhen (SZX);
TSN;Tianjin;China;Asia;China Airlines;Tianjin (TSN);
VIE;Vienna;Austria;Europe;Austrian Airlines;Vienna (VIE);
YUL;Montreal;Canada;North America;Air Canada;Montreal (YUL);
YYZ;Toronto;Canada;North America;Air Canada;Toronto (YYZ);
ZRH;Zurich;Switzerland;Europe;SWISS;Zurich (ZRH);